Year,Total External debt stocks,debt_service,debt_service_ratio,short_term_ratio,public_debt_ratio,annual_growth_rate
2013,427245.1,37587.2,8.797573102652319,21.698575361074944,28.42885734675483,
2014,457507.4,91757.7,20.056003465736293,18.70446248519696,33.33611653057415,7.083123949227277
2015,478831.0,48586.6,10.146920312176947,17.033734240264312,33.89732494345604,4.660820786723874
2016,455541.9,75511.5,16.576192003413954,18.424847417987234,33.58929222536939,-4.863741069396088
2017,511575.7,49013.2,9.580830363912906,19.07999148513114,35.77525281204717,12.300471153147496
2018,521175.7,60205.100000000006,11.551785702978862,19.940281175810767,34.64090900631015,1.8765551217542198
2019,561017.4,47650.700000000004,8.49362247944538,19.033188631939044,34.22487430871128,7.64458128036285
2020,564979.3,74641.09999999999,13.211298183844963,18.325113858153742,34.12604674188948,0.7061991303656479
2021,611987.2,50878.1,8.313588911663512,18.73298984031039,33.54346300053335,8.32028713264361
2022,615516.0,62462.899999999994,10.148054640334287,20.77458587591549,33.34085547735558,0.5766133670769724
2023,646787.1,73954.6,11.434148887632423,19.530398797378616,33.22819827420801,5.080469069853577
