Year,Original,Trend,Seasonal,Residual
2013,427245.1,,-7872.1259259259095,
2014,457507.4,454527.8333333333,1406.9740740740674,1572.592592592642
2015,478831.0,463960.1,6465.151851851842,8405.748148148181
2016,455541.9,481982.86666666664,-7872.1259259259095,-18568.840740740707
2017,511575.7,496097.76666666666,1406.9740740740674,14070.959259259282
2018,521175.7,531256.2666666666,6465.151851851842,-16545.718518518435
2019,561017.4,549057.4666666667,-7872.1259259259095,19832.05925925926
2020,564979.3,579327.9666666667,1406.9740740740674,-15755.640740740695
2021,611987.2,597494.1666666666,6465.151851851842,8027.881481481483
2022,615516.0,624763.4333333332,-7872.1259259259095,-1375.307407407323
2023,646787.1,,1406.9740740740674,
